"Carimbo de data/hora","1.Qual o seu curso?","2. Qual o período cursado?","3. Informe os 7 últimos dígitos do seu RA: (109nnnxxxxxxx) ","4. Qual o estado do Brasil que você nasceu?","5. Qual sua cidade de residência?","6. Qual é o seu gênero?","6-1.Qual é a sua orientação sexual?","7. Agora vamos falar sobre sua idade:
Em qual dia você nasceu?","7-1. Em qual mês você nasceu?","7-2. Em qual ano você nasceu?","8. Qual é o seu estado civil?","9. Você é portador de alguma deficiência? (Pode selecionar mais de uma, se for o caso)","10. Quantos filhos você tem?","11. Com quem você mora atualmente?","12. Quantas pessoas, incluindo você, moram no seu domicílio?","13. Qual a situação do domicílio onde mora?","14. Tempo de moradia neste domicílio.","15. Você possui algum animal de estimação?","15-1. Qual(is) esporte(s) você pratica?","16. Qual a faixa de renda mensal da sua família (em Salários Mínimos)?","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Televisor]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Automóvel]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Motocicleta]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Máquina de Lavar e/ou tanquinho]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Geladeira]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Celular Comum]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Smartphone e/ou tablet]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Microcomputador de Mesa (desktop)]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Notebook]","18. No seu domicílio você tem: [Telefone Fixo]","18. No seu domicílio você tem: [Internet]","18. No seu domicílio você tem: [TV por assinatura]","18. No seu domicílio você tem: [Empregada Mensalista]","19. Vamos tratar sobre trabalho agora:
Você trabalha?","19-1.Qual o seu vínculo com o emprego?","19-2. Qual a área do seu trabalho?","19-3 .Qual seu horário de trabalho?","19-. Qual a empresa que você está contratado agora?","20. Você tem plano de saúde privado?","21. Vamos considerar a escolaridade da família:
Qual o grau de escolaridade do seu pai?
(Somente o ensino completo) 
","21-1.Qual o grau de escolaridade da sua mãe?
(Somente o ensino completo)","22. Na sua vida escolar você estudou:","23. Vamos tratar sobre uso de microcomputadores (notebooks e desktops):
Com que frequência você utiliza microcomputadores?","23-1 .Onde você utiliza microcomputadores (notebooks e desktops)? [Em casa]","23-1 .Onde você utiliza microcomputadores (notebooks e desktops)? [No trabalho]","23-1 .Onde você utiliza microcomputadores (notebooks e desktops)? [Na escola]","23-1 .Onde você utiliza microcomputadores (notebooks e desktops)? [Em outros lugares]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para trabalhos profissionais:]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para trabalhos escolares:]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para entretenimento (músicas, vídeos, redes sociais, etc):]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para comunicação por e-mail:]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para operações bancárias:]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para compras eletrônicas:]"," 24.Como você classifica seu conhecimento em informática?","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Windows:]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Linux:]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Editores de textos (Word, Writer, etc.):]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Planilhas eletrônicas (Excel, Calc, etc.):]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Apresentadores (Powerpoint, Impress, Prezzi, etc.):]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Sistemas de Gestão Empresarial]","26. Agora, considere seu conhecimento sobre o idioma Inglês: [Inglês]","26-1.considere seu conhecimento sobre o idioma Espanhol: [Espanhol]","26-2. Agora, considere seu conhecimento sobre outros idiomas: [Outros idiomas]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [TV]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Internet]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Revistas]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Jornais (meio impresso)]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Rádio]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Redes sociais]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Conversas com amigos]","28. Se você lê jornal (digital ou impresso), qual a frequência?","29. Se você lê jornal (digital ou impresso), quais os assuntos que mais lê?","30. Não considerando os livros escolares, quantos livros você lê por ano (em média)?","31. Se você lê livros literários, qual o gênero preferido?","32. Você dedica parte do seu tempo para atividades voluntárias?","33. Qual religião você professa?","34. Quais fontes de entretenimento cultural você usa?","35. Estamos quase acabando... Como conheceu a FATEC Franca?","36. Porque você escolheu este curso?","37. Qual sua maior expectativa quanto ao curso?","38. Qual sua expectativa após se formar?","39. Você já estudou na FATEC - Franca?","40. Você fez ou faz algum curso técnico?","41. Qual o meio de transporte você usa para vir à escola?","42. Escreva algumas linhas sobre sua história e seus sonhos de vida."
"2022/09/06 9:01:18 PM GMT-3","ADS","Matutino","1122039","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","22","Outubro","2003","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","4 pessoas","Próprio","Mais de 5 anos","Gato","Basquete","Mais que 5 até 10 SM (R$ 6.060 - R$ 12.120)","2","1","0","1","1","0","3","0","2","Não","Sim","Sim","Não","Não","","","","","Tenho e é um plano familiar","Ensino fundamental II (6º ao 9º anos)","Pós-graduação","Sempre em escola particular com bolsa","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Muito","Intermediário","Nenhum","Pouco","Intermediário","Pouco","Pouco","Intermediário","Não fala","Básico","Pouco","Sempre","Pouco","Nunca","Pouco","Sempre","Sempre","Não leio","Não leio jormal","De 3 até 6","Ficção","Não","Nenhuma","Cinema;Filmes na internet;Literatura;Música;TV;Viagens;Games","Cartaz de divulgação","Este curso forma profissionais facilmente absorvidos pelo mercado","Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada","Não","Sim, em uma ETEC","Ônibus","quero conquistar conhecimento para ser um profissional renomado da area"
"2022/09/07 10:57:06 AM GMT-3","ADS","Matutino","2211041","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","5","Setembro","2003","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","5 ou mais pessoas","Próprio","Mais de 5 anos","Cachorro","Futebol/Futsal;Basquete;Corrida/Caminhada;Ciclismo","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","1","2","0","2","1","4+","2","0","3","Não","Sim","Sim","Não","Não","","","","","Não tenho, uso o SUS","Ensino Médio","Ensino Superior","Sempre em escola pública","Muito (3 ou 4 vezes por semana)","","","","","","","","","","","Intermediário","Pouco","Pouco","Intermediário","Intermediário","Pouco","Pouco","Básico","Não fala","Não fala","Pouco","Sempre","Nunca","Nunca","Nunca","Sempre","Às vezes","Raramente","Não leio jormal","Até 2","Ficção;Biográfico","Não","Católica","Filmes na internet;Música;TV","Indicação de familiar/amigo","Este curso forma profissionais facilmente absorvidos pelo mercado","Obter novos conhecimentos","Prestar concurso público","Não","Sim, em uma ETEC","Bicicleta","Prefiro não comentar"
"2022/09/07 11:02:23 AM GMT-3","ADS","Matutino","2211043","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","7","Novembro","1987","Solteiro(a)","Nenhuma","Nenhum","Com esposa(o) e(ou) filho(s)","2 pessoas","Cedido","Mais de 5 anos","Outro","Nenhum","Até 2 SM (R$ 2.424)","1","1","0","1","1","0","2","0","1","Não","Sim","Não","Não","Sim","Sou registrado no comércio","Trabalho fora da área do curso","Tarde e noite","Magalu","Não tenho, uso o SUS","Ensino fundamental I (1º ao 5º anos)","Ensino fundamental I (1º ao 5º anos)","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Avançado","Avançado","Nenhum","Intermediário","Intermediário","Intermediário","Nenhum","Básico","Não fala","Não fala","Pouco","Sempre","Nunca","Nunca","Às vezes","Sempre","Sempre","Diariamente","Todos os assuntos","Nenhum","Não leio","Não","Nenhuma","Cinema;Filmes na internet;Música;Teatro;TV;Games","Indicação de familiar/amigo","Minha intenção é seguir esta carreira","Obter novos conhecimentos;Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada;Melhorar cargo e salário na empresa que trabalho;Abrir meu próprio negócio","Não","Não fiz","Carro (próprio)","Somente teste"
"2022/09/07 11:07:54 AM GMT-3","ADS","Matutino","2211023","São Paulo (SP)","FRANCA","Mulher cis","Heterossexual","12","Maio","1992","Solteiro(a)","Nenhuma","Um","Com pais e(ou) parentes","3 pessoas","Alugado","2 a 3 anos","Nenhum","Academia;Ciclismo","Até 2 SM (R$ 2.424)","1","1","0","1","1","1","1","0","1","Sim","Sim","Não","Não","Não","","","","","Não tenho, uso o SUS","Ensino fundamental I (1º ao 5º anos)","Ensino Médio","Sempre em escola pública","Às vezes (2 ou 3 vezes por semana)","","","","","","","","","","","Intermediário","Intermediário","Nenhum","Intermediário","Intermediário","Intermediário","Pouco","Básico","Básico","Não fala","Às vezes","Sempre","Nunca","Nunca","Nunca","Às vezes","Pouco","Raramente","Notícias locais","Até 2","Autoajuda","Não","Prefiro não responder","Música;Teatro","Indicação de familiar/amigo","É um curso bem conceituado na região","Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada","Não","Sim, em uma ETEC","Bicicleta","Meu sonho é ter um emprego bom para dar estabilidade pra minha família."
"2022/09/07 11:15:31 AM GMT-3","ADS","Matutino","1090482","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","7","Setembro","2003","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","2 pessoas","Próprio","2 a 3 anos","Gato","Basquete;Vôlei;Academia;Skate/Patins;Outro(s)","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","3","2","0","1","1","2","0","0","2","Não","Sim","Não","Não","Não","","","","","Tenho e é um plano individual","Prefiro não responder","Ensino Superior","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Intermediário","Nenhum","Intermediário","Intermediário","Intermediário","Intermediário","Intermediário","Fluente","Básico","Nunca","Sempre","Nunca","Nunca","Nunca","Às vezes","Sempre","Não leio","Não leio jormal","De 7 a 10","Ficção;Aventura;Autoajuda","Sim","Católica","Cinema;Exposições de arte;Filmes na internet;Literatura;Museus;Música;Teatro;Viagens;Games","Propaganda na escola que estudava","Este curso forma profissionais facilmente absorvidos pelo mercado","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Obter um diploma de nível superior","Conquistar vaga em empresa privada","Não","Sim, no SENAI","Bicicleta","."
"2022/09/07 11:15:38 AM GMT-3","ADS","Matutino","2211037","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","5","Maio","2004","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","4 pessoas","Alugado","3 a 4 anos","Cachorro","Futebol/Futsal;Basquete;Corrida/Caminhada;Vôlei;Handball;Natação;Academia;Ciclismo;Outro(s)","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","2","1","0","2","1","0","4+","0","4+","Não","Sim","Sim","Não","Não","","","","","Tenho e é pago parcialmente pela empresa","Ensino Médio","Ensino Superior","A maior parte em escola pública","Muito (3 ou 4 vezes por semana)","","","","","","","","","","","Muito","Intermediário","Intermediário","Intermediário","Intermediário","Intermediário","Nenhum","Básico","Básico","Não fala","Pouco","Sempre","Nunca","Nunca","Pouco","Sempre","Sempre","Não leio","Não leio jormal","Até 2","Ficção","Não","Nenhuma","Cinema;Filmes na internet;Música;TV;Viagens;Games","Propaganda na escola que estudava","Minha intenção é seguir esta carreira","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Conhecer novas pessoas;Melhorar-me como pessoa para bons relacionamentos futuros;Obter um diploma de nível superior","Conquistar vaga em empresa privada","Não","Sim, no SENAC","Carro (próprio)","Pimba"
"2022/09/07 11:16:13 AM GMT-3","ADS","Matutino","2211051","São Paulo (SP)","FRANCA","Mulher cis","Heterossexual","2","Março","2003","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","4 pessoas","Próprio","Mais de 5 anos","Cachorro","Futebol/Futsal","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","1","1","0","2","2","0","4+","0","1","Não","Sim","Sim","Não","Sim","Sou registrado no comércio","Trabalho fora da área do curso","Tarde e noite","Açai na Tigela ","Não tenho, uso o SUS","Ensino Médio","Ensino fundamental I (1º ao 5º anos)","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Intermediário","Intermediário","Avançado","Avançado","Avançado","Nenhum","Básico","Não fala","Não fala","Nunca","Sempre","Nunca","Nunca","Nunca","Sempre","Às vezes","Não leio","Não leio jormal","Até 2","Não leio","Não","Católica","Filmes na internet","Pelo Facebook","Minha intenção é seguir esta carreira","Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada;Ingressar na carreira acadêmica","Não","Não fiz","Carro (próprio)","..."
"2022/09/07 11:20:58 AM GMT-3","ADS","Matutino","2211035","São Paulo (SP)","FRANCA","Mulher cis","Heterossexual","4","Agosto","2004","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","5 ou mais pessoas","Próprio","Mais de 5 anos","Nenhum","Vôlei","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","4+","2","1","2","1","0","4+","0","2","Sim","Sim","Sim","Não","Sim","Sou autônomo","Trabalho fora da área do curso","Tarde","nenhuma","Não tenho, uso o SUS","Ensino Médio","Ensino Médio","Sempre em escola particular paga pela família","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Intermediário","Nenhum","Pouco","Pouco","Pouco","Nenhum","Intermediário","Intermediário","Não fala","Às vezes","Sempre","Nunca","Nunca","Pouco","Sempre","Sempre","Raramente","Todos os assuntos","De 7 a 10","Romance;Ficção;Aventura","Não","Católica","Cinema;Filmes na internet;Literatura;Música;TV;Viagens;Games","Indicação de familiar/amigo","Minha intenção é seguir esta carreira","Obter competências para exercício de uma profissão","Ingressar na carreira acadêmica","Não","Não fiz","Transporte escolar","Meu sonho é ter uma carreira de sucesso."
"2022/09/07 11:21:41 AM GMT-3","ADS","Matutino","2121028","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","11","Julho","2003","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","5 ou mais pessoas","Alugado","Mais de 5 anos","Nenhum","Nenhum","Mais que 5 até 10 SM (R$ 6.060 - R$ 12.120)","2","1","0","2","1","0","4+","0","1","Sim","Sim","Sim","Não","Não","","","","","Tenho e é pago integralmente pela empresa","Ensino Médio","Ensino Superior","Sempre em escola pública","Pouco (1 ou 2 vezes por semana)","","","","","","","","","","","Intermediário","Intermediário","Pouco","Pouco","Intermediário","Pouco","Nenhum","Intermediário","Não fala","Não fala","Nunca","Sempre","Nunca","Nunca","Nunca","Sempre","Às vezes","Não leio","Não leio jormal","Nenhum","Não leio","Não","Evangélica","Cinema;Filmes na internet;Música;TV;Games","Indicação de familiar/amigo","Porquê eu ainda estou indeciso na minha carreira profissional ","Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada","Não","Não fiz","Carro (próprio)","Sou uma pessoa com ainda indecisões na vida, más quero achar meu objetivo e ir afundo nele. Tenho o sonho de trabalhar como animador na Disney, e usarei os conhecimentos que a FATEC me proporciona para chegar lá."
"2022/09/07 11:22:11 AM GMT-3","ADS","Matutino","2211024","São Paulo (SP)","FRANCA","Mulher cis","Heterossexual","17","Dezembro","1998","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","3 pessoas","Próprio","Mais de 5 anos","Nenhum","Corrida/Caminhada;Academia","Prefiro não responder","4+","2","1","2","1","0","3","0","2","Não","Sim","Sim","Sim","Sim","Trabalho Informal ( não registrado)","Trabalho fora da área do curso","Tarde","","Tenho e é um plano familiar","Ensino fundamental II (6º ao 9º anos)","Ensino Médio","Sempre em escola pública","Às vezes (2 ou 3 vezes por semana)","","","","","","","","","","","Intermediário","Intermediário","Nenhum","Avançado","Avançado","Avançado","Nenhum","Fluente","Não fala","Não fala","Pouco","Às vezes","Nunca","Nunca","Pouco","Sempre","Sempre","Não leio","Não leio jormal","Nenhum","Não leio","Não","Prefiro não responder","Cinema;Filmes na internet;Música;TV;Viagens;Games","Indicação de familiar/amigo","Este curso forma profissionais facilmente absorvidos pelo mercado","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Conhecer novas pessoas;Melhorar-me como pessoa para bons relacionamentos futuros;Obter um diploma de nível superior","Conquistar vaga em empresa privada","Não","Não fiz","Moto (própria)","Passei por algumas infelicidades no quesito profissional e agora busco me encontrar em algo que me faça feliz. "
"2022/09/07 11:41:34 AM GMT-3","ADS","Matutino","2021014","São Paulo (SP)","FRANCA","Mulher cis","Heterossexual","12","Julho","1987","Casado(a) ou União Estável","Nenhuma","Nenhum","Com esposa(o) e(ou) filho(s)","2 pessoas","Alugado","1 a 2 anos","Ave","Nenhum","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","1","1","1","1","1","0","2","0","1","Não","Sim","Não","Não","Sim","Trabalho Informal ( não registrado)","Trabalho fora da área do curso","Tarde","Escritorio de advocacia","Não tenho, uso o SUS","Ensino fundamental I (1º ao 5º anos)","Ensino fundamental I (1º ao 5º anos)","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Intermediário","Nenhum","Intermediário","Pouco","Pouco","Pouco","Não fala","Não fala","Não fala","Às vezes","Sempre","Nunca","Nunca","Nunca","Sempre","Sempre","Diariamente","Todos os assuntos","Nenhum","Não leio","Não","Católica","Cinema;Filmes na internet;Música;Teatro;TV","Indicação de familiar/amigo","É um curso bem conceituado na região","Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada","Não","Não fiz","Moto (própria)","Busco aprender e ingressar na area de desenvolvimento de sistemas."
"2022/09/07 12:05:26 PM GMT-3","ADS","Matutino","2111008","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","10","Outubro","2003","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","4 pessoas","Próprio","Mais de 5 anos","Nenhum","Academia","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","1","2","1","1","1","0","4+","1","2","Sim","Sim","Não","Não","Não","","","","","Tenho e é um plano familiar","Ensino Superior","Ensino fundamental II (6º ao 9º anos)","A maior parte em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Pouco","Pouco","Nenhum","Intermediário","Pouco","Intermediário","Nenhum","Intermediário","Não fala","Não fala","Às vezes","Às vezes","Nunca","Nunca","Nunca","Nunca","Pouco","Não leio","Não leio jormal","Nenhum","Não leio","Não","Católica","Filmes na internet;Música;TV;Games","Indicação de familiar/amigo","Este curso forma profissionais facilmente absorvidos pelo mercado","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Conhecer novas pessoas;Obter um diploma de nível superior","Conquistar vaga em empresa privada","Não","Não fiz","Carro (próprio)","Eu tenho 18 anos, pretendo me foa, para podermar para conseguir um bom emprego e me desenvolver mais na área assim, me tornar independente financeiramente."
"2022/09/07 12:07:53 PM GMT-3","ADS","Matutino","2211017","São Paulo (SP)","FRANCA","Mulher cis","Heterossexual","30","Junho","2004","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","5 ou mais pessoas","Próprio","Mais de 5 anos","Nenhum","Futebol/Futsal;Corrida/Caminhada","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","2","2","2","2","2","4+","0","0","1","Sim","Sim","Sim","Não","Sim","Sou registrado no comércio","Trabalho fora da área do curso","Tarde e noite","Supermecado Noemia","Tenho e é um plano familiar","Ensino Médio","Ensino Médio","A maior parte em escola particular paga pela família","Muito (3 ou 4 vezes por semana)","","","","","","","","","","","Intermediário","Intermediário","Pouco","Intermediário","Intermediário","Intermediário","Pouco","Não fala","Não fala","Não fala","Pouco","Sempre","Nunca","Nunca","Nunca","Às vezes","Às vezes","Raramente","Lazer, arte e cultura","Nenhum","Não leio","Não","Católica","Cinema;Filmes na internet;Música","Propaganda na escola que estudava","Minha intenção é seguir esta carreira","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Obter um diploma de nível superior","Conquistar vaga em empresa privada","Não","Sim, no SENAI","Moto (própria)","Sair do ensino médio ano passado e como os dois últimos anos foi em meio a uma pandemia e nao tinha me dedicado aos estudos da forma que gostaria não iria fazer faculdade, mas tomei conhecimento da Fatec e dos cursos, achei a área bem interessante, mesmo não tendo tanto conhecimento, consegui passar na vaga e agora tenho como objetivo termina a faculdade e ingressar na área "
"2022/09/07 12:20:43 PM GMT-3","ADS","Matutino","2211003","São Paulo (SP)","FRANCA","Mulher cis","Heterossexual","1","Outubro","2004","Solteiro(a)","Auditiva","Nenhum","Com pais e(ou) parentes","3 pessoas","Alugado","1 a 2 anos","Cachorro","Vôlei","Mais que 5 até 10 SM (R$ 6.060 - R$ 12.120)","2","0","0","1","1","1","3","0","3","Sim","Sim","Não","Não","Não","","","","","Tenho e é um plano familiar","Ensino fundamental II (6º ao 9º anos)","Ensino Superior","A maior parte em escola particular paga pela família","Muito (3 ou 4 vezes por semana)","","","","","","","","","","","Intermediário","Intermediário","Pouco","Intermediário","Intermediário","Intermediário","Nenhum","Intermediário","Básico","Não fala","Pouco","Sempre","Nunca","Nunca","Nunca","Sempre","Às vezes","Não leio","Não leio jormal","De 3 até 6","Romance;Ficção;Aventura;Fantasia ","Sim","Testemunha de Jeová ","Cinema;Filmes na internet;Música;TV;Games","Indicação de familiar/amigo","Este curso forma profissionais que são bem remunerados","Obter competências para exercício de uma profissão","Nenhuma expectativa","Não","Não fiz","Carro por aplicativo (Uber, 99, etc.)","Tenho a vontade de conhecer o mundo e me manter a partir do meu conhecimento da tecnologia."
"2022/09/07 12:39:35 PM GMT-3","ADS","Matutino","1148009","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","25","Novembro","1992","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","4 pessoas","Próprio","Mais de 5 anos","Cachorro","Nenhum","Mais que 5 até 10 SM (R$ 6.060 - R$ 12.120)","2","1","0","1","1","0","4+","1","1","Sim","Sim","Sim","Não","Sim","Trabalho Informal ( não registrado)","Trabalho fora da área do curso","Tarde","Stop and Learn Idiomas","Tenho e é um plano individual","Ensino Superior","Pós-graduação","A maior parte em escola particular com bolsa","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Avançado","Avançado","Nenhum","Avançado","Avançado","Avançado","Nenhum","Fluente","Intermediário","Intermediário","Pouco","Sempre","Nunca","Nunca","Nunca","Às vezes","Pouco","Raramente","Notícias internacionais","Até 2","Ficção","Não","Nenhuma","Música;Viagens;Games","Indicação de familiar/amigo","Sugestão ou vontade familiar","Obter novos conhecimentos;Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada","Não","Não fiz","Carro por aplicativo (Uber, 99, etc.)","Sou formado em Relações Internacionais pela Universidade de Brasília e atualmente trabalho como professor de idiomas; Além de fluência em inglês tenho conhecimento em japonês, italiano e francês."
"2022/09/07 12:54:52 PM GMT-3","ADS","Matutino","2211026","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","23","Agosto","2001","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","3 pessoas","Próprio","Mais de 5 anos","Gato","Futebol/Futsal;Vôlei;Tênis/Tênis de mesa","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","2","2","1","2","2","1","3","1","1","Não","Sim","Não","Não","Sim","Sou registrado no comércio","Trabalho fora da área do curso","Tarde e noite","Vilas boas ","Não tenho, uso o SUS","Ensino fundamental II (6º ao 9º anos)","Ensino fundamental II (6º ao 9º anos)","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Avançado","Avançado","Pouco","Intermediário","Intermediário","Intermediário","Pouco","Básico","Básico","Não fala","Pouco","Sempre","Às vezes","Nunca","Pouco","Sempre","Às vezes","Não leio","Não leio jormal","De 7 a 10","Romance;Ficção;Biográfico;Aventura;Fantasia ","Não","Espírita","Cinema;Filmes na internet;Literatura;Música;Games","Indicação de familiar/amigo","Minha intenção é seguir esta carreira","Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada","Não","Não fiz","Moto (própria)","."
"2022/09/07 1:07:11 PM GMT-3","ADS","Matutino","2211030","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","1","Agosto","2003","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","5 ou mais pessoas","Alugado","3 a 4 anos","Cachorro","Corrida/Caminhada","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","3","1","1","1","1","2","4+","0","1","Sim","Sim","Não","Não","Sim","Sou estagiário","Trabalho fora da área do curso","Tarde","Caminhar associação de pessoas com deficiência cerebral ","Não tenho, uso o SUS","Prefiro não responder","Ensino Médio","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Intermediário","Nenhum","Intermediário","Avançado","Pouco","Nenhum","Básico","Intermediário","Não fala","Às vezes","Sempre","Pouco","Nunca","Pouco","Sempre","Às vezes","Algumas vezes por semana","Notícias nacionais","Até 2","Ficção;Aventura","Sim","Católica","Cinema;Filmes na internet;Música;Games","Cartaz de divulgação","Minha intenção é seguir esta carreira","Obter novos conhecimentos;Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada;Prestar concurso público;Melhorar cargo e salário na empresa que trabalho","Não","Sim, em uma ETEC","Ônibus","Meu intuito é melhorar como pessoa e profissional, ampliando meu conhecimento e buscar um cargo nessa área de tecnologia!"
"2022/09/07 1:38:21 PM GMT-3","ADS","Matutino","2113044","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","3","Dezembro","1983","Solteiro(a)","Nenhuma","Nenhum","Sozinho","Somente eu","Próprio","Mais de 5 anos","Gato","Nenhum","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","1","0","1","1","1","0","1","0","2","Não","Sim","Não","Não","Sim","Sou registrado no comércio","Trabalho na área do curso","Tarde e noite","Claro","Tenho e é pago integralmente pela empresa","Ensino fundamental I (1º ao 5º anos)","Ensino fundamental I (1º ao 5º anos)","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Intermediário","Nenhum","Intermediário","Intermediário","Intermediário","Nenhum","Básico","Não fala","Não fala","Pouco","Sempre","Nunca","Nunca","Sempre","Pouco","Às vezes","Não leio","Não leio jormal","Até 2","Biográfico","Não","Nenhuma","Cinema;Filmes na internet;Música;Games","Propaganda na escola que estudava","Porque já trabalho na área","Obter novos conhecimentos","Nenhuma expectativa","Não","Sim, em uma ETEC","Moto (própria)","Estou sempre bem..."
